start5_mean,start10_mean,start15_mean,start20_mean,start25_mean,start30_mean,start35_mean,start40_mean,start5_sd,start10_sd,start15_sd,start20_sd,start25_sd,start30_sd,start35_sd,start40_sd
0.056818532,0.040829461,0.030013328,0.025446116,0.012667242,0.012915022,0.015635908,0.007440162,0.028108044,0.030210721,0.032225351,0.027747986,0.034198659,0.034488343,0.032335485,0.030316432
0.04917658,0.040243531,0.028925693,0.01804456,0.01105687,0.008388445,0.01236274,0.008410982,0.024209296,0.02699818,0.029119432,0.027661834,0.029196581,0.029826398,0.030250858,0.028144326
0.045366953,0.032642508,0.02433619,0.023195766,0.011325023,0.009012466,0.007906865,0.006270444,0.025632548,0.029025263,0.027382628,0.029850243,0.026802919,0.025728132,0.030095338,0.027070925
0.044204667,0.039711574,0.026185927,0.017982652,0.009438791,0.0083156,0.00529167,0.005474222,0.02742754,0.028087819,0.028318278,0.030420386,0.028622027,0.030589146,0.030547964,0.027593035
0.042204158,0.02988368,0.025193128,0.016911155,0.011264258,0.01239731,0.011659049,0.009781812,0.026098945,0.028302674,0.031330989,0.030722707,0.030176005,0.029274111,0.032174175,0.030187297
0.046274548,0.028152549,0.025704765,0.014617919,0.008281148,0.01178666,0.002700005,0.005025461,0.027916637,0.027284046,0.030087358,0.026928271,0.029286562,0.025656148,0.029132522,0.030113006
0.045047313,0.032055722,0.026207539,0.018476102,0.008783766,0.008296829,0.009863938,0.005834894,0.030851334,0.02499446,0.03151201,0.031017798,0.031249121,0.031590801,0.027420596,0.026479706
0.036469687,0.029873489,0.021588274,0.008573753,0.007812838,0.010559053,0.002307219,0.007534104,0.027119535,0.033374785,0.025717106,0.026015448,0.027184136,0.028952125,0.033326114,0.029783848
0.031927602,0.031371455,0.025247261,0.018251451,0.007939969,0.013953263,0.010949238,0.00176089,0.027179806,0.030090243,0.027434368,0.030632051,0.030532428,0.026785218,0.028075014,0.026820428
0.040013169,0.034262698,0.021977609,0.013215529,0.008978212,0.008818329,0.00834159,0.005518165,0.023557539,0.026910145,0.031137421,0.031993271,0.033707634,0.032680654,0.025529938,0.028549127
