"","start55_mean","start60_mean","start65_mean","start70_mean","start75_mean","start80_mean","start85_mean","start90_mean","start55_sd","start60_sd","start65_sd","start70_sd","start75_sd","start80_sd","start85_sd","start90_sd"
"1",0.0366008363866876,0.033091709791715,0.0354425114768385,0.0214982366737463,0.0176197647728394,0.0160038225992369,0.0197508008676184,0.00740530624995667,0.0218791490586705,0.0211799132908631,0.0188284805862057,0.0212191459640785,0.0171226497208499,0.0197785507339613,0.0212176904250107,0.0175140888135289
"2",0.0367700244896754,0.0323779825068062,0.0350561653191019,0.0212349444675187,0.0174496417603827,0.0163971408041676,0.0195790239421136,0.00749178100808737,0.0213673882693706,0.0208382965871519,0.018652955312076,0.020943422214973,0.016986565064411,0.0198025685925431,0.0210460841852662,0.0174219461215268
"3",0.0370146526544066,0.0321964378394785,0.0342961485344483,0.0210490580396876,0.0177426963095693,0.0158957142244332,0.0194047687284958,0.00753268102331378,0.0213449243457111,0.0207210891187,0.0183732089868912,0.0210744679680387,0.0170692558533433,0.0195910298003312,0.020633259885708,0.0172267584505853
"4",0.0362231478749784,0.0315516052431326,0.0341163072288373,0.0211489972482854,0.0176190315698838,0.0157859422886178,0.0192851155948072,0.00759588421687633,0.0210291153182329,0.0204389748645951,0.0184217046119306,0.0207705875904397,0.0168339068003762,0.0195678253763763,0.0205482227071276,0.017074775379563
"5",0.0356470296994073,0.0315532823260419,0.0337061522325462,0.0208662866645541,0.0177378797442574,0.0156686359678533,0.0188637785815754,0.00773344375407764,0.0203266847322076,0.0205319156215471,0.018114570649216,0.0205279988505111,0.0169720914651182,0.0195357441834544,0.0203998855354297,0.0170020248328315
"6",0.0350765784291483,0.0311126771705832,0.0332693073303549,0.0210503554384145,0.0178372898698674,0.0158854271644526,0.0185127579163629,0.00793047768869022,0.0200440155782058,0.0201960328770007,0.0181945920761565,0.0204096311268036,0.0170411630434946,0.0195977440340705,0.0202651882115588,0.0170059066969203
"7",0.0348047311430253,0.0306701545568687,0.0331761325225793,0.020782836294384,0.0175856102117544,0.0156370351182992,0.0186873267344578,0.00780018678965756,0.019828227814782,0.0200329766155734,0.0183181973567991,0.0202939471190883,0.017144863980843,0.0196133263051522,0.0203110571242284,0.0170021462865763
"8",0.0346833139518483,0.0302211792850075,0.0324845982742005,0.0201754940068737,0.0175069510883904,0.0155622442331346,0.018603551496417,0.00776726774775796,0.0197883259893751,0.0200663057062461,0.0181945336203501,0.0203125958555763,0.017014162082917,0.0195943529027088,0.0202443869693904,0.0170275561043717
"9",0.0346127284007635,0.0298774180970785,0.0320689441538338,0.01975857795817,0.0170638746788377,0.0154721787180357,0.0181723035106711,0.00786838487934442,0.0198259509628075,0.0199081920468395,0.018336722759036,0.0201282781572699,0.0169109305282938,0.0195059813046061,0.0199626083240601,0.0168972096215625
"10",0.0339012403225616,0.0293328875614901,0.031893834695457,0.0198002015729639,0.0168796787117942,0.0152260492609748,0.0179848850540474,0.00768348257538251,0.0194518780931892,0.0199033046360863,0.0185296832927368,0.0201204559560571,0.0168271155157476,0.0193014453767096,0.0200758396032309,0.0169041160403752
"11",0.0335151094293028,0.028859287786019,0.0313471877417486,0.0194731427352624,0.0167715371831333,0.014788927045101,0.0177347826767728,0.00748494950811613,0.0192027055318689,0.0199241730153841,0.0186838161696232,0.0199362004483565,0.017023382099628,0.0191203902508234,0.0199685778212232,0.0164335822194288
"12",0.0332764816282723,0.028342897349819,0.0309035574483209,0.0192899053598048,0.016485510368539,0.0150112179690323,0.0178391204549551,0.0075495826116927,0.0190823878430086,0.0194422001788411,0.0185865374722046,0.0199245843836721,0.0170829746388413,0.0191954919115898,0.0196921640099883,0.0165237552672142
"13",0.0332152652977476,0.0281315832955445,0.0307071865661849,0.0189020620861407,0.0164183684703246,0.0149020084510319,0.0177003324121619,0.0074393367726951,0.0190046463440405,0.0193365140024153,0.0186673398422463,0.0196899104621342,0.0170085267408097,0.0188688884169061,0.0195726289202479,0.0164516721521915
"14",0.0329455865815932,0.0276057869124558,0.0302320607099424,0.0186351152630114,0.0165465081249306,0.0145465800943645,0.0174087568155272,0.00733199635765996,0.018917923298595,0.0191916899876372,0.0184833274429076,0.0194666922327234,0.0170797001626238,0.0188560004108596,0.0195491923539262,0.0166039679806924
"15",0.0325031088598983,0.0273519802348638,0.0300869575318518,0.0184811138344341,0.0160036125490209,0.0144365787018562,0.0170546193125428,0.00763780558056901,0.0188364363403632,0.0192168282898647,0.0182932793263635,0.0194630734251124,0.0168716104333258,0.0187414880648155,0.019647704421063,0.0164955849575088
"16",0.032348880710609,0.0268202301198147,0.0294949099656062,0.018159236454987,0.0160509505015333,0.0143798296908873,0.0167219417492354,0.00744792462953632,0.0188653095006683,0.0191617714692748,0.0182980122405992,0.0195034577914871,0.0171806826978906,0.0184662577134281,0.0197581679467875,0.0162080880442282
"17",0.0317805370867422,0.0263107627489148,0.0292853741729206,0.0175197633505581,0.0162071735632128,0.0142147487892697,0.0162879164320912,0.00750045208101733,0.0187537580647939,0.0189048331638318,0.0184371374792302,0.0192716399799266,0.0172843489966433,0.0186787429034353,0.0196706125008636,0.016248880011658
"18",0.0314047002189688,0.025768850209101,0.0288773974103728,0.0172427608220932,0.0160702670372202,0.0142345996273808,0.015884278391715,0.00763291957844299,0.0186250610297396,0.0189070145017194,0.0184153808451035,0.0193474892402556,0.0173185460261496,0.0189194795537616,0.0194464831450669,0.0163812561135665
"19",0.03081099372405,0.0253899945019797,0.0286488940351808,0.0170141378408482,0.0159705475427177,0.0140686946023966,0.0156886548235278,0.00752413167448761,0.0184819038090329,0.0188446536442181,0.0185733550134628,0.0191418321737734,0.0171460363222139,0.0186723479833668,0.0195777305652009,0.0164659324660219
"20",0.030678218072132,0.0252147437870538,0.0278840078348568,0.0165903511031991,0.0158840841683462,0.014137413672685,0.0156025410047326,0.00757824590264706,0.0185017496063624,0.0188666779724713,0.0184775419983429,0.018927795974949,0.0170535528703073,0.0188072338949152,0.0193233869573067,0.0164798614171739
"21",0.0300932145034948,0.0250037618758522,0.0277840870188244,0.0160672135548608,0.0158079214636707,0.0139081159354106,0.0155333710057791,0.00775295838732289,0.0184807979854509,0.019106591134623,0.0183861658728684,0.0188971573121306,0.0170339701746182,0.0188334721034661,0.0191113348109535,0.0164154945830318
"22",0.0298568022746337,0.0244159601959063,0.0276572167354919,0.0161695839473648,0.015536937753653,0.0137072738565026,0.0155285911840291,0.00742099065251868,0.018531724311681,0.0187141013330893,0.0184832387304184,0.0188735535430919,0.0169011527870834,0.0183894593428974,0.0190060806920312,0.0162281320047269
"23",0.02914033041625,0.0241623830973126,0.0273412616472281,0.0159564637688878,0.0152683205306537,0.0133658136961138,0.0153955380660211,0.0074630659909163,0.0186373061237031,0.0188447174260686,0.0186413950137358,0.0189245037208582,0.0168423527606157,0.0183156755173641,0.0190070609487266,0.016278648028734
"24",0.0287310552672853,0.023798732367731,0.0272203253624312,0.01578874634283,0.0149470740459998,0.0131986269954822,0.0149038771781647,0.00744364092880894,0.018415767400142,0.018970126558588,0.018627032780464,0.0190047459002712,0.0169769865949977,0.0183214497000611,0.0188682402673541,0.0162774312523541
"25",0.028447177551683,0.0233389562044894,0.0266868627629094,0.0154888045749899,0.0148774451167994,0.0129388320229978,0.0147940714640284,0.00744590331936641,0.0183564963909377,0.0191056244479728,0.0186468277417481,0.0190877465270181,0.0170933689770069,0.0184050804926814,0.0190325850266675,0.0159826120718763
"26",0.0288770189158479,0.0230887451147088,0.0264480654569203,0.0150280017295822,0.0146871398664367,0.0128712318167898,0.0144575979725659,0.00758695088595086,0.0184841358793745,0.0192054496448066,0.0187390148873452,0.0191246961534199,0.0170586917170421,0.0184417058895026,0.0190310423906369,0.0158380188817667
"27",0.0287930098712216,0.0228911441841114,0.0262551361348882,0.0149232495995861,0.0143401115204662,0.0128109894949535,0.0139191085039831,0.00755829287397251,0.0186624531744029,0.0190871473403275,0.0188991788273721,0.019113907001472,0.0166852325832465,0.0186859163042796,0.0186094398395338,0.01572203756911
"28",0.0281479089794736,0.0226184053429963,0.0255502844904874,0.0147638975880361,0.0143430189570673,0.0124396972627207,0.0138348816846521,0.00732410103058616,0.0186328752347271,0.0190649696363439,0.0189124616387651,0.0191051952136671,0.0169392790585213,0.0185740931264887,0.018731582013926,0.0157401106707242
"29",0.0278300043562433,0.0226466241817359,0.0253122557908384,0.0143993136290419,0.0140985089066821,0.0125761325415085,0.0137381417409272,0.00751132438152698,0.0187378120859298,0.0191015248613677,0.0186200592184835,0.0190788880081357,0.0168223604498477,0.0186390848737193,0.018628302827116,0.0158964797874379
"30",0.0275994788540883,0.0224580223103353,0.0250458966803236,0.0141655664741843,0.0140186616327164,0.0123087584608494,0.0133598740820211,0.00742763937547032,0.0187734929418065,0.0191506802615663,0.0185612635499881,0.0189684302099621,0.0169273535132387,0.0183138390758738,0.0186558296820465,0.0157951713194464
"31",0.0274360348613225,0.0222669258977298,0.0246783768369109,0.0138792687296211,0.0138290923278159,0.0115862231470965,0.0128187727428641,0.00711524533051314,0.0187293008091402,0.0192617060956287,0.0185885186197332,0.0191005604950588,0.016994063968202,0.0181185424833006,0.0184743747868072,0.0155503305629023
"32",0.0270482732553249,0.0220916970926083,0.0242835474580108,0.0138162257501636,0.0138129415746494,0.0110296478998553,0.0124162519400313,0.00706767383396566,0.0187943502001396,0.0190069693043511,0.018309554572196,0.0191754475697112,0.017131538492786,0.0180489737673896,0.0185841355271415,0.0154788316650901
"33",0.026482970373289,0.0217747575073324,0.024218900069449,0.0131995179782697,0.0140335079719911,0.0111300411127844,0.0121230922216289,0.00730039922993977,0.0186473993036808,0.01899164622604,0.0184420488376895,0.0191074260648005,0.0171437118184098,0.01790461586935,0.0183399072241601,0.0154119302309489
"34",0.0259363972859976,0.0214326791953154,0.0241697608840049,0.0130458547412622,0.0139586429021605,0.0110851011905986,0.0121216838301204,0.00695149317712078,0.0186572051664093,0.0188922382093152,0.0183568206081455,0.0190790118169956,0.0169597034291668,0.0181662667551891,0.0183237476023975,0.0153555471323019
"35",0.0259646274497964,0.0209792779882041,0.0239526930159267,0.0129383632453963,0.0138642385845744,0.0106845274842355,0.011634464330642,0.00666186914225711,0.0186874086137542,0.0188383246284206,0.0182410459352726,0.0192106453673365,0.0169559233591483,0.0180779212975191,0.0184797229044462,0.0153265508166607
"36",0.0252497912892285,0.0206492236591666,0.0236297425706484,0.0126006126837453,0.0133425542855262,0.0102202146850811,0.0115673147968514,0.00669465994934532,0.0181656818597467,0.0187668848329572,0.0181433228304974,0.0188132069104606,0.0169601966278132,0.0181445115570073,0.018688923774523,0.0154097566924164
"37",0.0247542006242789,0.0205812818516433,0.0231684175135225,0.0122945022381276,0.0129670882902026,0.0104310007270328,0.0116817804903,0.00638153935847009,0.017908856011494,0.0186299286936627,0.0180262321481643,0.0187720891865264,0.0167334232629666,0.0179865562146906,0.0188889914782686,0.0157758975901492
"38",0.0247646621032769,0.0199240955624454,0.0228535387586481,0.0120109390460695,0.0130506951854745,0.0101405898079005,0.0115982355020137,0.00657602312127062,0.0179650779082398,0.0187328787298091,0.018043505721943,0.0188896439153812,0.0168297347665004,0.0178842279158402,0.0189465154418135,0.0160872721185857
"39",0.0243741626443936,0.0198537688334438,0.022235457988706,0.0118832471064459,0.0128543615144398,0.00989690674583511,0.0116428702107572,0.00647267216778323,0.0179158569209403,0.0188323701765244,0.0179973653726774,0.0190157137910297,0.0167403018379629,0.0178652502138369,0.0188787049336329,0.0163153790759517
"40",0.0239716856539861,0.0190772353034981,0.0216795818681536,0.0117039815028375,0.0128448780047981,0.00959132832065596,0.0114867757224376,0.00612109608466265,0.017771111219753,0.0186310360044491,0.0179017861906492,0.0187581870915879,0.0164671957626005,0.018072937632766,0.0186755872742554,0.016622012735614
"41",0.0235790983009869,0.0189544932512723,0.0212950630387593,0.0113322842040335,0.0125943017879625,0.00945662791167686,0.010995673729617,0.00608337534924213,0.0177930411707968,0.0186258240379941,0.0179295735435809,0.0187601269711198,0.0167428009858613,0.0181913856987397,0.0185235874466392,0.0164169988939535
"42",0.0232493823915305,0.0187534778554781,0.0207650898966137,0.0112732458620328,0.0128227948441713,0.00922447220783295,0.0109445989468267,0.00593007360696992,0.0176359877540592,0.0184751329231626,0.0178945234747493,0.018678355027107,0.0170357272802135,0.017860253451487,0.0185855095100234,0.0165085250124717
"43",0.0225972902338934,0.0180422449246304,0.020414584669588,0.0110139516112647,0.0126278962588091,0.0088238021595364,0.0107265340002075,0.00555221645668984,0.0175496695359372,0.0183644712077333,0.0180550625349336,0.0188530719930315,0.0169744371117129,0.0175132584913846,0.0187511857294372,0.0161206903285796
"44",0.0222343404364097,0.0179738808555208,0.0199118659985391,0.010719422873347,0.0124096707394794,0.00849405953413464,0.0105511879549458,0.00565243029885812,0.0177575874109404,0.0184351883799026,0.017859706152214,0.0184830459211172,0.0170268906023786,0.017648453233806,0.0187672535148331,0.0160970554111812
"45",0.0221074679742529,0.0176511685649574,0.0197683240704942,0.0103701800080087,0.0122043618549926,0.00824369488308639,0.0104215905872572,0.00555144145518148,0.0179213880321852,0.0183763547149061,0.0179750169207254,0.0182489331932615,0.0170101057997715,0.0180757509904969,0.0186874198208526,0.0162047741407356
"46",0.0218216553251964,0.0175195065122232,0.0195140786520011,0.0102043521380161,0.0120486549042194,0.00828774035947502,0.0101772458923437,0.00501297409688303,0.0179767400486866,0.0182851693313342,0.0180781161593921,0.0178161393834322,0.0169928552853467,0.0182236566219614,0.0184361611037485,0.0158559755102533
"47",0.0217647723611915,0.0172246771426733,0.0192227230754103,0.0100404941586933,0.011998063194434,0.00795860563350361,0.00991902185097277,0.00476956959881257,0.0178114337687924,0.0182425221927152,0.0180957722878199,0.0177227184547702,0.0171745613307929,0.0182823474422168,0.0180565011894724,0.0157081937539634
"48",0.0213867136549934,0.0172285691378671,0.0188111757918262,0.0100287452820759,0.0120691285305529,0.00776707502425903,0.00996097884656134,0.00401763073044416,0.0177166747573676,0.0182407286829817,0.0182380969114748,0.0176842878550595,0.017200586416394,0.0184031263401804,0.018381644914438,0.0157649164658938
"49",0.0207896787648923,0.0172900938295711,0.0184823171447908,0.00979688939436906,0.0119233908116609,0.0076886319891514,0.00968933517192499,0.00402827772767385,0.0175482032626329,0.0180795162666382,0.0182310865382053,0.0178042728244578,0.0171901601938367,0.0185171574563886,0.0183751244416609,0.0157487423428016
"50",0.0206204912912207,0.0166346715308752,0.0180276815661746,0.00951435605885301,0.0116147103681929,0.00749386830479487,0.00883713868168435,0.00406299285791153,0.0175472638709066,0.0180323227532899,0.017936721049554,0.0177521617555054,0.0169915730467119,0.0187191160807134,0.0188152694719403,0.0160770573969684
"51",0.0205376878956261,0.0163086325096249,0.0181600371101683,0.00915631429868171,0.0115053236941206,0.00682168700282571,0.00869921012799536,0.00356335448345304,0.0176763262506633,0.0181452827076314,0.017706467464202,0.0177155158823129,0.017114268033849,0.0184582308522003,0.0187865562441512,0.0158823511066985
"52",0.0203950850101803,0.0160874805097188,0.0180550705449028,0.0089154298304202,0.0110584416584464,0.00657801335173679,0.00824997021959589,0.00349702001752013,0.0178381987969923,0.0181495874630122,0.0178649184792901,0.0177830177235181,0.0171829970272214,0.0182199315537285,0.0188157860602979,0.0158319104260876
"53",0.0198008752750179,0.0160354751016402,0.0176693762379624,0.00865475881925384,0.0113452918340987,0.00624932836028811,0.00828795737558712,0.00334141691662332,0.0178140195293655,0.0181917752280103,0.0176430561681952,0.0177449026684394,0.0172516175773098,0.0186295920450621,0.0190351251040575,0.0155675820054412
"54",0.0197281894252476,0.0157147898415563,0.0173503179556229,0.00839786501706005,0.010834580066658,0.00648334126078552,0.00801363540278873,0.00283979659967003,0.0178946143120638,0.0182550229887111,0.0174891218624844,0.0177013404935501,0.0172507846439419,0.0187628866268585,0.0188532000151112,0.0158957670206629
"55",0.0192920540591969,0.0154669154951981,0.0171097373210329,0.00816672409981435,0.0107339218044637,0.00599851571705718,0.00713173561518175,0.00250689243612146,0.0177032685543961,0.0182977819375116,0.0173749990692498,0.0177713685548233,0.0171306118547089,0.0186613693456104,0.0183746491790696,0.0157461844027557
